Year,VALUE
1977,2086
1978,2356.6
1979,2632.2
1980,2862.5
1981,3211
1982,3345
1983,3638.1
1984,4040.7
1985,4346.8
1986,4590.1
1987,4870.2
1988,5252.6
1989,5657.7
1990,5979.6
1991,6174.1
1992,6539.3
1993,6878.7
1994,7308.8
1995,7664.1
1996,8100.2
1997,8608.5
1998,9089.2
1999,9660.6
2000,10284.8
2001,10621.8
2002,10977.5
2003,11510.7
2004,12274.9
2005,13093.7
2006,13855.9
2007,14477.6
2008,14718.6
2009,14418.7
2010,14964.4
2011,15517.9
2012,16155.3
2013,16663.2
